nome,apelido,data_nascimento,posicao,mao
Carlos,Pinto,2000-02-03,Lateral Direito,Direita
Luís,Henriques,1995-07-07,Central,Direita
Daniel,Correia,1992-11-26,Ponta Esquerda,Direita
Marco,Dias,1996-07-04,Ponta Direita,Esquerda
Carlos,Martins,1992-01-25,Guarda-Redes,Esquerda
Bruno,Rodrigues,2001-01-29,Lateral Direito,Esquerda
David,Silva,1998-07-17,Pivot,Direita
Gonçalo,Reis,2005-01-20,Lateral Esquerdo,Esquerda
Bruno,Oliveira,2005-11-18,Lateral Esquerdo,Esquerda
Miguel,Gomes,2001-07-26,Central,Esquerda
Luís,Lopes,2005-11-06,Lateral Esquerdo,Direita
Carlos,Santos,1996-05-30,Guarda-Redes,Esquerda
Eduardo,Monteiro,1991-03-08,Ponta Direita,Esquerda
Eduardo,Rodrigues,1992-02-01,Lateral Direito,Esquerda
Rafael,Reis,1998-10-13,Pivot,Direita
Pedro,Costa,1991-09-19,Pivot,Esquerda
Manuel,Vieira,2002-07-18,Pivot,Esquerda
Miguel,Carvalho,2004-12-01,Lateral Direito,Direita
Jorge,Correia,1991-10-20,Lateral Direito,Direita
Gonçalo,Sousa,2001-11-26,Pivot,Direita
Daniel,Monteiro,2003-02-02,Central,Direita
Marco,Ribeiro,1998-07-03,Lateral Esquerdo,Direita
Ricardo,Pereira,2004-02-04,Pivot,Esquerda
Miguel,Rodrigues,2005-12-02,Guarda-Redes,Esquerda
Carlos,Gomes,1994-08-18,Guarda-Redes,Direita
David,Dias,1991-02-14,Guarda-Redes,Direita
Miguel,Fonseca,1992-05-11,Guarda-Redes,Direita
David,Henriques,2001-11-10,Lateral Direito,Direita
Tomás,Martins,1990-04-17,Lateral Direito,Esquerda
Rafael,Ribeiro,1994-03-02,Lateral Esquerdo,Direita
Daniel,Costa,2004-03-12,Lateral Esquerdo,Esquerda
João,Rocha,1994-02-08,Pivot,Esquerda
David,Pereira,1998-03-26,Lateral Direito,Esquerda
Marco,Nunes,1993-07-01,Pivot,Esquerda
Rui,Reis,2001-06-18,Pivot,Esquerda
Jorge,Fonseca,2005-06-19,Lateral Esquerdo,Direita
Marco,Monteiro,2001-02-14,Pivot,Direita
Manuel,Vieira,2001-07-12,Ponta Esquerda,Esquerda
Hugo,Gomes,1994-01-05,Central,Esquerda
Paulo,Fonseca,1994-02-24,Ponta Direita,Direita
João,Rodrigues,1993-08-25,Lateral Direito,Direita
Luís,Ferreira,1991-05-13,Guarda-Redes,Esquerda
Eduardo,Marques,1992-12-27,Guarda-Redes,Esquerda
Miguel,Henriques,1999-10-19,Lateral Esquerdo,Esquerda
Eduardo,Nunes,1994-09-13,Guarda-Redes,Esquerda
Marco,Fonseca,2004-07-22,Pivot,Esquerda
Rui,Teixeira,2003-11-10,Central,Esquerda
Marco,Dias,1997-04-26,Central,Direita
Rui,Guerreiro,2004-02-10,Lateral Esquerdo,Direita
Marco,Cardoso,1999-12-21,Central,Esquerda
Ricardo,Henriques,1997-11-28,Ponta Direita,Direita
Paulo,Dias,2002-04-28,Pivot,Esquerda
Vasco,Monteiro,1997-05-30,Ponta Esquerda,Direita
Jorge,Costa,2000-03-29,Central,Direita
Francisco,Guerreiro,2003-05-26,Pivot,Direita
Manuel,Pereira,2001-09-12,Lateral Direito,Esquerda
Daniel,Rocha,1999-04-01,Pivot,Esquerda
Diogo,Cardoso,1992-05-26,Ponta Esquerda,Esquerda
Tomás,Pereira,1995-09-24,Central,Esquerda
Bruno,Nunes,1993-10-05,Guarda-Redes,Esquerda
David,Dias,1999-10-11,Lateral Esquerdo,Direita
Francisco,Gomes,1996-10-23,Lateral Esquerdo,Direita
Vasco,Cardoso,1998-10-19,Ponta Direita,Esquerda
Fernando,Fernandes,2001-08-21,Lateral Direito,Direita
Gonçalo,Correia,2001-12-29,Ponta Direita,Direita
Jorge,Reis,2000-05-15,Central,Esquerda
Pedro,Nunes,1991-04-06,Lateral Esquerdo,Direita
Francisco,Monteiro,1993-06-17,Guarda-Redes,Esquerda
Rui,Rodrigues,1990-09-29,Pivot,Esquerda
Gabriel,Santos,1998-02-13,Ponta Direita,Direita
Diogo,Correia,2004-12-12,Lateral Esquerdo,Direita
Gabriel,Guerreiro,1999-01-16,Central,Direita
Tomás,Gomes,2004-03-08,Ponta Esquerda,Direita
Tiago,Nunes,1996-04-14,Guarda-Redes,Esquerda
Guilherme,Guerreiro,2002-02-14,Pivot,Direita
Jorge,Ferreira,1991-01-23,Pivot,Esquerda
Ricardo,Carvalho,1991-07-23,Lateral Direito,Direita
David,Vieira,2005-11-01,Guarda-Redes,Esquerda
Rui,Vieira,1993-02-25,Guarda-Redes,Direita
Rafael,Lopes,1991-06-08,Lateral Esquerdo,Esquerda
Tiago,Pereira,2004-12-20,Pivot,Direita
Manuel,Teixeira,1995-09-16,Ponta Esquerda,Direita
Paulo,Martins,1997-07-07,Central,Esquerda
Tomás,Lopes,2004-10-30,Guarda-Redes,Direita
Diogo,Fonseca,1992-08-06,Lateral Esquerdo,Direita
Francisco,Cardoso,1994-01-14,Central,Esquerda
Fernando,Monteiro,1998-05-31,Lateral Esquerdo,Esquerda
Miguel,Fonseca,1995-04-24,Lateral Direito,Direita
Carlos,Teixeira,1993-12-15,Lateral Direito,Esquerda
Diogo,Silva,2004-06-08,Pivot,Direita
Rafael,Teixeira,2003-09-18,Lateral Esquerdo,Esquerda
André,Pinto,1997-12-26,Lateral Direito,Direita
André,Ferreira,2000-05-19,Ponta Esquerda,Direita
Hugo,Almeida,1997-08-24,Central,Esquerda
Hugo,Pereira,1992-08-11,Guarda-Redes,Direita
Gonçalo,Pinto,2000-02-03,Lateral Esquerdo,Esquerda
Daniel,Nunes,1998-05-27,Lateral Esquerdo,Direita
Ricardo,Correia,2001-03-02,Guarda-Redes,Esquerda
Bruno,Almeida,1993-05-14,Ponta Esquerda,Direita
Luís,Rocha,2001-09-17,Guarda-Redes,Direita
Eduardo,Henriques,1993-09-08,Ponta Direita,Direita
Gonçalo,Guerreiro,2001-09-11,Central,Direita
Jorge,Martins,1992-09-05,Ponta Esquerda,Direita
Tomás,Oliveira,2004-10-15,Ponta Esquerda,Direita
Tomás,Lopes,1991-02-22,Guarda-Redes,Direita
Gonçalo,Pereira,1998-11-15,Central,Direita
Manuel,Teixeira,1990-07-25,Ponta Direita,Direita
Daniel,Rodrigues,2000-04-06,Guarda-Redes,Esquerda
Fernando,Fonseca,2001-08-13,Ponta Esquerda,Direita
Ricardo,Costa,1992-08-14,Ponta Esquerda,Esquerda
Bruno,Oliveira,1998-01-15,Central,Esquerda
Carlos,Reis,2002-06-13,Lateral Direito,Direita
Pedro,Sousa,2003-10-17,Pivot,Esquerda
António,Nunes,1997-05-18,Ponta Direita,Direita
Pedro,Gomes,2001-04-19,Central,Direita
André,Costa,1990-06-30,Central,Direita
André,Monteiro,1999-02-08,Ponta Direita,Esquerda
Miguel,Mendes,1998-05-18,Central,Esquerda
Gonçalo,Fonseca,2000-12-30,Lateral Direito,Esquerda
Tomás,Almeida,1990-01-15,Lateral Direito,Esquerda
Nuno,Rodrigues,1996-01-05,Ponta Esquerda,Direita
Fernando,Monteiro,1992-05-04,Ponta Esquerda,Esquerda
João,Costa,1998-08-25,Guarda-Redes,Esquerda
Ricardo,Carvalho,2002-09-15,Ponta Direita,Direita
Guilherme,Rodrigues,2000-05-17,Lateral Direito,Direita
Rafael,Pereira,2003-02-06,Ponta Esquerda,Esquerda
Diogo,Sousa,2003-11-14,Pivot,Direita
Francisco,Nunes,2005-11-27,Guarda-Redes,Direita
Nuno,Sousa,2005-08-15,Pivot,Direita
Gonçalo,Pinto,2002-12-22,Lateral Direito,Esquerda
Diogo,Pereira,1993-11-19,Guarda-Redes,Esquerda
Pedro,Guerreiro,1996-07-08,Ponta Esquerda,Esquerda
António,Reis,1990-12-10,Lateral Direito,Esquerda
Diogo,Santos,1991-08-24,Central,Direita
Nuno,Henriques,1991-07-01,Pivot,Esquerda
António,Fernandes,2002-01-24,Ponta Direita,Direita
Diogo,Vieira,1993-02-07,Pivot,Direita
David,Ferreira,1992-07-30,Guarda-Redes,Esquerda
André,Martins,1997-05-07,Ponta Direita,Direita
Rui,Gomes,2001-06-22,Lateral Direito,Esquerda
António,Dias,1998-06-09,Lateral Direito,Esquerda
Rafael,Vieira,1991-12-27,Central,Direita
Rui,Ribeiro,1999-05-02,Lateral Direito,Direita
Manuel,Guerreiro,1999-09-19,Central,Direita
Rui,Fernandes,1996-04-08,Lateral Direito,Esquerda
Nuno,Vieira,1999-12-01,Pivot,Esquerda
Nuno,Sousa,1990-09-06,Central,Direita
José,Oliveira,2002-11-11,Ponta Direita,Direita
Eduardo,Vieira,1994-09-12,Central,Direita
Gabriel,Correia,2003-02-27,Lateral Esquerdo,Esquerda
Paulo,Silva,1997-01-03,Lateral Direito,Direita
António,Martins,1993-03-21,Ponta Esquerda,Esquerda
Ricardo,Santos,1997-02-21,Lateral Esquerdo,Direita
Nuno,Oliveira,2004-03-20,Lateral Direito,Esquerda
Luís,Nunes,2002-06-30,Lateral Esquerdo,Direita
Miguel,Vieira,1994-01-12,Guarda-Redes,Esquerda
Francisco,Henriques,2002-12-11,Lateral Esquerdo,Direita
Luís,Fonseca,2004-02-02,Ponta Direita,Direita
Daniel,Ribeiro,1991-03-03,Lateral Esquerdo,Esquerda
David,Vieira,2004-05-06,Ponta Direita,Direita
Manuel,Cardoso,1995-06-29,Central,Direita
Paulo,Oliveira,2005-09-29,Central,Esquerda
Luís,Rocha,2004-07-03,Lateral Esquerdo,Esquerda
Carlos,Correia,2005-01-26,Ponta Direita,Direita
Nuno,Silva,2003-09-05,Ponta Direita,Direita
Pedro,Santos,1995-02-10,Pivot,Direita
Rafael,Henriques,2002-07-07,Lateral Direito,Direita
Tiago,Costa,1998-10-18,Guarda-Redes,Direita
Vasco,Rodrigues,1990-06-12,Ponta Esquerda,Direita
Gonçalo,Ferreira,2003-01-03,Lateral Esquerdo,Esquerda
António,Lopes,1999-10-03,Pivot,Direita
Luís,Carvalho,1993-10-23,Ponta Direita,Esquerda
Bruno,Cardoso,1996-11-21,Central,Esquerda
Rafael,Monteiro,1998-11-12,Lateral Esquerdo,Direita
Francisco,Mendes,1999-12-05,Lateral Direito,Direita
Miguel,Reis,1996-01-23,Lateral Esquerdo,Direita
